TICKER	 OPEN	LOW	HIGH	PRECLOSE	LTP	BUY	SELL	GAIN-$	LOSE-$	BUCLO	BECLO	VOLUME	HAMMER	HAMMER+	I-HAM	IHAMMER+	DOJI
NATCOPHARM	895.9	883.3	918	891.55	903	FALSE	FALSE	22.1	-12.6	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
BHARTIARTL	687.35	667.65	687.35	688.3	675.8	FALSE	TRUE	0	-19.7	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
VOLTAS	1217.75	1199.95	1220.6	1218.05	1213.75	FALSE	FALSE	2.85	-17.8	FALSE	FALSE	0.00	TRUE	FALSE	FALSE	FALSE	FALSE
ESCORTS	1463	1427	1478.45	1480.1	1471.95	FALSE	FALSE	15.45	-36	FALSE	FALSE	0.00	TRUE	FALSE	FALSE	FALSE	FALSE
TORNTPOWER	504	490.2	507.9	505.05	499	FALSE	FALSE	3.9	-13.8	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
GODREJIND	578.9	564	579	579.15	564.85	FALSE	FALSE	0.1	-14.9	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
DABUR	617	609	620.2	617.05	618.65	FALSE	FALSE	3.2	-8	FALSE	FALSE	0.00	TRUE	FALSE	FALSE	FALSE	FALSE
TECHM	1375	1364.8	1384	1380.6	1368.9	FALSE	FALSE	9	-10.2	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
BHARATFORG	737	721	741.25	737.45	726.6	FALSE	FALSE	4.25	-16	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
GUJGASLTD	640.5	610.55	643.85	637.45	614.7	FALSE	FALSE	3.35	-29.95	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
MFSL	1017.15	993.75	1024.45	1014.3	1016.45	FALSE	FALSE	7.3	-23.4	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
BANDHANBNK	281.8	279.2	289.75	283	288.45	FALSE	FALSE	7.95	-2.6	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
SYNGENE	600	599.05	618.8	599.9	615.6	FALSE	FALSE	18.8	-0.95	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
SBICARD	1025.5	1023.75	1048	1029.6	1046.05	FALSE	FALSE	22.5	-1.75	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
AJANTPHARM	2291	2240	2299	2278.1	2245	FALSE	FALSE	8	-51	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
COROMANDEL	790.8	788.1	802	794.45	801.8	FALSE	FALSE	11.2	-2.7	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
ICICIPRULI	673.75	658	673.75	671.85	667.4	FALSE	TRUE	0	-15.75	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
MARICO	545	541.05	552.75	547.5	551.65	FALSE	FALSE	7.75	-3.95	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
SBILIFE	1204	1199.4	1217.55	1215.1	1210	FALSE	FALSE	13.55	-4.6	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
BIOCON	362	358.25	367.6	362.7	365.6	FALSE	FALSE	5.6	-3.75	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
CUB	157.5	155.7	160.05	157.65	158.8	FALSE	FALSE	2.55	-1.8	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
MGL	1082	1070	1109	1082.65	1092	FALSE	FALSE	27	-12	FALSE	FALSE	972,509.00	FALSE	FALSE	FALSE	FALSE	FALSE
MANAPPURAM	170	169.4	180.5	169.15	180.1	FALSE	FALSE	10.5	-0.6	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
INDUSINDBK	1104	1091.3	1112	1111.9	1103.05	FALSE	FALSE	8	-12.7	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
HCLTECH	1274	1260.65	1284	1279.55	1273	FALSE	FALSE	10	-13.35	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
CUMMINSIND	987.8	878.15	987.8	991.95	915	FALSE	TRUE	0	-109.65	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
SBIN	448.5	443.8	455.55	453	452	FALSE	FALSE	7.05	-4.7	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
CHOLAFIN	564	556	568	564.25	557.45	FALSE	FALSE	4	-8	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
PFIZER	5581.1	5504	5609	5581.1	5578.9	FALSE	FALSE	27.9	-77.1	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
TVSMOTOR	550.9	544.95	569.75	549.45	567.5	FALSE	FALSE	18.85	-5.95	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
ADANIENT	1465	1422.65	1468.75	1468.1	1455	FALSE	FALSE	3.75	-42.35	FALSE	FALSE	0.00	TRUE	FALSE	FALSE	FALSE	FALSE
DHANI	183.15	180.5	184	183.3	181	FALSE	FALSE	0.85	-2.65	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
DLF	419	411.15	422.85	417.2	416.3	FALSE	FALSE	3.85	-7.85	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
SAIL	112.95	110.8	115.85	113.65	114.95	FALSE	FALSE	2.9	-2.15	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
VEDL	285.8	283.15	290.3	287.65	285.3	FALSE	FALSE	4.5	-2.65	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
SUNPHARMA	812	805.3	830.7	818.25	825	FALSE	FALSE	18.7	-6.7	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
GAIL	160.2	157.55	166.2	158.85	162.5	FALSE	FALSE	6	-2.65	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
HINDALCO	483.1	473.45	486	487.95	484.4	FALSE	FALSE	2.9	-9.65	FALSE	FALSE	0.00	TRUE	FALSE	FALSE	FALSE	FALSE
ABFRL	242.55	241.15	251	246.35	243.3	FALSE	FALSE	8.45	-1.4	FALSE	FALSE	0.00	FALSE	FALSE	TRUE	FALSE	FALSE
CIPLA	980	973.1	991.9	983.55	984.05	FALSE	FALSE	11.9	-6.9	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
UBL	1570	1558.2	1583.9	1571.5	1573	FALSE	FALSE	13.9	-11.8	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
HINDZINC	311.5	305.4	314.5	311.6	306.65	FALSE	FALSE	3	-6.1	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
INDUSTOWER	311	302.65	317.5	308.7	315.9	FALSE	FALSE	6.5	-8.35	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
AUROPHARMA	721.9	706.5	724.35	724.8	714.6	FALSE	FALSE	2.45	-15.4	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
AMARAJABAT	745	742	769.95	749.8	765.45	FALSE	FALSE	24.95	-3	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
ITC	235.2	232.9	237	236.15	235.25	FALSE	FALSE	1.8	-2.3	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
LAURUSLABS	618.8	611.35	622	616.45	617.3	FALSE	FALSE	3.2	-7.45	FALSE	FALSE	0.00	TRUE	FALSE	FALSE	FALSE	FALSE
ICICIGI	1589	1561.3	1628	1589.5	1589	FALSE	FALSE	39	-27.7	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
INDHOTEL	179.9	178.35	186.7	181.4	184.25	FALSE	FALSE	6.8	-1.55	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
LT	1697.5	1687.5	1712.5	1702.95	1695.5	FALSE	FALSE	15	-10	FALSE	FALSE	0.00	TRUE	FALSE	TRUE	FALSE	TRUE
JSWENERGY	392	378.1	398.45	389.9	384.45	FALSE	FALSE	6.45	-13.9	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
SUNTV	502	498	529.6	505.35	521.65	FALSE	FALSE	27.6	-4	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
TATACHEM	916.7	907.2	928.45	919.3	910.4	FALSE	FALSE	11.75	-9.5	FALSE	FALSE	0.00	FALSE	FALSE	FALSE	FALSE	FALSE
